Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bahrain,BHR,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,1951.786338,1963.770614,2087.447344,2282.579354,2626.247468,3171.850881,3661.324212,3746.893047,4299.833141,4612.430779,4848.711643,5205.297018,5589.59367,15305.73406,15926.45222,16450.66186,14702.18116,15363.35066,15402.81158,15621.25071,14214.47656,18498.05575,21644.42422,20477.08292,20553.55882,20597.55193,21105.11037,21251.52966,20638.13743,20014.74549,20130.4566,20016.59548,19775.06331,18983.04023,21325.8176,21508.24845,20592.24422,18491.08909,17459.65445,18038.23787,17912.56602,17849.25789,18693.12388,19596.9831,,,,,,,
"Bahamas, The",BHS,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2937.656354,2106.048538,1111.328154,707.7819237,893.935187,959.2460164,1126.33583,1384.610031,1774.611725,1834.451627,2030.296632,2068.425254,2092.095285,2233.546038,2321.878203,2389.696314,2384.593281,2382.539982,2986.473237,2891.637859,3155.598279,3343.737103,3479.083887,3474.286385,3446.764688,,,,,,,
Belarus,BLR,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4380.751349,4426.013214,3912.701745,3450.222433,3068.36199,2790.020749,2806.615123,2952.92294,3015.400275,3005.364257,2996.309475,3009.402482,3000.745625,3063.056939,3174.053092,3245.372088,3365.981865,3393.908536,3481.743517,3299.460902,3566.173013,3632.87856,3704.309041,3657.124679,3690.103683,,,,,,,
Belize,BLZ,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,165.8754119,174.056337,173.8434189,181.714345,189.5464342,199.6691867,216.3246499,227.5046371,237.2577833,253.408106,266.1003901,265.0341982,254.1796369,252.5550344,245.005227,235.0562177,233.5932194,245.732805,257.8440459,266.138798,280.5408748,290.0466518,312.6001233,332.8069136,351.5983424,369.8291407,388.2857637,405.1002617,418.1872835,415.8811727,416.6548177,429.9527086,437.242163,447.1254081,476.5875809,506.9475658,538.6863418,527.8015425,546.597348,596.5011832,629.0052699,654.4817304,695.9532363,742.5383997,,,,,,,
Brazil,BRA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,459.885653,499.0417125,554.6281926,604.9785422,651.4966408,722.0814198,790.2218389,860.302326,941.6991467,1016.653585,1021.547835,1055.950766,1111.752162,1208.624312,1283.054345,1354.503437,1368.108473,1419.630592,1449.931372,1460.760329,1486.22461,1494.061476,1537.592639,1566.761231,1634.398108,1687.085238,1762.410629,1808.343155,1832.378306,1897.353148,1747.939631,1806.669684,1882.264028,1956.159381,2015.799869,2072.36268,2167.606561,2229.845299,2197.125581,2374.116628,2430.80331,2501.474103,2568.829695,2619.960499,,,,,,,
Barbados,BRB,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,1754.230792,1675.879309,1582.321097,1541.249379,1478.640146,1421.155596,1367.926418,1318.977268,1274.014371,1691.768104,2264.694266,2635.103657,3079.128413,3290.921091,3265.906256,3217.606326,4192.536779,4283.87308,4298.96284,4325.239454,4473.945186,4819.488258,5268.314849,5579.508865,6384.797652,6828.179371,7622.72328,7755.33865,7375.526495,7545.787986,7181.571417,7373.614744,8550.927695,8596.849491,8463.156511,8431.867164,8614.091373,8589.471243,8840.797912,8810.345981,8783.627603,9240.670982,9873.545426,10290.93802,,,,,,,
Bhutan,BTN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,586.8367992,627.2984933,625.424144,640.8522462,663.8088604,753.4106007,846.8236321,719.12292,729.6196657,769.376634,852.7347452,925.5313922,922.0147094,962.9994819,935.9006734,962.3027213,1028.937487,1096.567072,1073.739645,1155.578328,1225.313106,1274.758204,1362.441024,1480.006321,1464.639924,1494.08114,1535.091695,1542.56863,1739.958382,1561.064181,1503.419162,1756.268904,2126.492872,1815.553722,,,,,,,
Central African Republic,CAF,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,5630.629813,5605.111926,5791.12496,5966.04092,6468.926261,6909.89938,7359.088188,7630.168528,8030.418434,8532.908503,8962.202213,9166.683666,9803.558419,10241.92086,10804.6008,10466.58262,11075.95423,11797.26259,12269.0193,12422.76113,12803.97551,13239.40876,12981.07867,13457.06579,14343.39203,14857.25859,15363.39958,15798.28727,16389.3381,16464.03951,16167.37456,16181.58875,16164.41904,16320.1273,16388.2805,16532.38204,16607.20634,16653.67705,16435.78699,16678.9326,17037.07228,16840.19375,16960.63967,17208.52352,17264.73674,16948.27522,16508.33955,16683.13366,16377.4797,15450.73069,15269.74548,15644.54028,15336.62486,15750.81163,15588.48715,,,,,,,
Central Europe and the Baltics,CEB,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,2088.953932,2243.537338,2389.988868,2522.681552,2683.047695,2848.02763,2984.659292,3124.946032,3161.268299,3307.321825,3279.077795,3320.051852,3436.825561,3562.911068,3646.653521,3762.2451,3867.978457,3934.078456,3948.025175,3744.05173,3469.592191,3217.340132,3148.027474,3172.222718,3299.390049,3426.015136,3383.432546,3337.015191,3281.614517,3341.726801,3430.725054,3454.635941,3588.323461,3676.626455,3739.653466,3888.525599,3984.588999,4048.765487,3840.536028,4017.412247,4096.894084,4093.459357,4075.34293,4115.630201,,,,,,,
Switzerland,CHE,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,3075.550313,3225.99403,3278.006177,3351.452791,3454.519325,3586.28881,3653.428978,3749.633874,3852.192111,4022.725425,4306.508607,4615.348218,4776.267394,5010.188911,5027.119384,4878.812968,5082.900384,5324.959952,5520.44673,5779.137371,5992.333459,6119.695805,6189.342434,6330.493382,6601.038674,6854.327383,6994.485345,7163.214775,7203.885833,7369.28667,7445.292017,7538.406742,7430.297509,7235.094076,7155.485684,7283.380159,7393.539173,7341.612373,7481.433547,7646.706162,7845.634548,7992.277576,8031.432226,8195.120835,8205.829119,8305.371102,8360.576135,8163.295576,8305.923042,8021.223604,8174.408162,7928.19067,7886.094306,7807.058815,7520.166025,,,,,,,
Channel Islands,CHI,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,761.2608064,787.8321502,757.8541894,800.571264,731.1908356,768.7176091,793.8457409,834.0573885,876.4200622,902.7659193,919.0970142,887.353606,906.4528712,966.8709669,988.1508379,1028.13528,1054.424386,1121.522649,1208.767327,1237.625161,1313.943308,1457.0893,1514.743634,1588.694784,1745.374965,1926.52999,2069.358194,2176.964529,2392.961564,2499.291178,2628.686877,2727.867469,2897.792879,3064.444946,3095.649042,3222.41447,3339.463325,3338.289965,3296.541125,3306.953699,3583.584239,3807.50765,3879.859848,3879.67342,,,,,,,
China,CHN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,151.9893473,163.9119288,175.933737,174.2333537,199.0397154,204.0303647,220.6570531,246.5557723,267.3742654,281.6246873,285.8177757,299.1979219,317.0202578,336.4116413,362.8120719,391.351625,426.5544932,461.7975182,487.373173,510.6198549,548.9537531,604.6936831,662.6370456,727.1073597,770.2802412,821.0808591,852.7406865,870.6172223,913.963448,992.9433847,1076.549121,1194.856295,1379.484632,1585.838782,1782.312153,2039.01466,2325.926769,2446.369055,2612.45662,2943.589954,3295.784868,3466.019539,3757.185088,3905.317598,,,,,,,
Cote d'Ivoire,CIV,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,97.02115042,104.1960708,114.5251239,117.1320774,126.0056868,139.5601903,148.5804377,161.6267377,198.8049067,182.855817,188.9514849,186.5375561,177.9125943,131.8978399,151.1362339,151.6405705,170.5896363,174.947768,160.7483204,160.4209957,148.433913,153.0545186,144.2173151,146.4824056,176.341021,161.6078963,172.0346364,186.985945,175.829544,173.9932639,182.2224577,176.6528225,174.3788344,173.3953543,171.6743996,181.7123768,187.103084,195.6587027,200.5070305,215.0203108,196.9217998,234.7870172,233.1634907,274.7302239,,,,,,,
Cameroon,CMR,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,152.3246551,155.5225806,152.9878643,169.5807698,174.8745178,165.9621538,155.0540718,155.7674403,155.0404277,156.1229725,198.3454189,221.1237428,213.6097768,204.6557597,223.7159568,208.4559627,207.621653,209.743682,210.3133722,199.0647606,192.2900743,188.8075674,190.9967832,167.2589887,160.0737177,165.6310313,175.398921,172.4422247,177.4016618,175.2616872,165.1713771,155.0349211,167.1342119,192.3598158,186.4277865,245.6694113,253.7601808,267.1317241,264.9328279,261.4885349,256.333087,247.4253636,252.2047533,275.1979743,,,,,,,
"Congo, Dem. Rep.",COD,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,162.2733874,158.7965926,167.3547729,169.2836595,167.2227149,161.8388767,158.3562163,148.3788499,142.9261789,150.9167395,135.6492371,130.3518349,138.0446276,141.3477896,148.1532449,150.6654456,145.8353725,145.8831066,169.4916926,130.8793768,125.4865179,115.2303414,102.5869983,101.3092871,108.8843077,104.8477429,95.39739839,93.40028961,95.16630311,96.56978765,95.5428467,89.73030179,90.20801962,88.18729489,89.45733367,101.7709237,105.2457136,101.2064072,106.7918735,104.6560836,108.0216267,112.1836565,117.0283067,108.5167041,,,,,,,
"Congo, Rep.",COG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,56.37345879,57.58935237,62.81788612,63.67057515,66.37781471,68.88440754,70.5860112,72.13863018,75.86001222,83.24277869,69.92132212,104.5163255,99.4612601,149.2242841,112.9334063,176.1064289,179.6143266,168.0512597,170.0709196,173.9691268,184.9472735,177.5139612,160.554401,144.3579774,151.4294199,154.3533939,129.0420234,110.7854553,69.11459595,95.60596274,104.7257088,115.3947467,114.766585,105.3990522,117.3133855,125.7628881,125.383018,135.3612763,144.7387466,140.1583345,147.6731132,214.6247714,213.0763092,202.8725144,,,,,,,
Colombia,COL,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,414.7885408,400.3743222,432.7127541,472.3347689,454.3433168,469.4388864,512.9041877,568.1661639,607.3044666,637.2742106,634.2600513,659.3522186,664.0620769,720.3584712,755.1952687,809.3226591,785.1153264,804.6186904,851.4827869,871.5939841,871.1924358,778.7042501,872.8096263,910.2888791,920.4743646,911.0920112,917.7494644,894.2687274,827.7292398,845.5975169,865.909134,873.264416,876.4128864,912.1837359,909.2160143,961.0447708,988.5793229,988.4539075,1065.607653,1094.560942,1139.659863,1170.073931,1310.664698,1312.199493,,,,,,,
Comoros,COM,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,605.4616012,651.6919817,676.0276674,718.8178482,731.0716431,766.5167607,797.9622945,849.9113885,858.3857019,931.3912751,963.1074856,933.676474,918.6217588,989.783126,1007.410699,1077.130286,1144.944496,1142.545658,1076.664643,1071.988654,1121.769798,1405.435833,1332.918977,1267.480989,1281.333873,1249.87577,1359.791683,1313.391307,1435.363105,1506.926791,1485.842848,1558.430031,1643.590992,1679.464616,1721.151118,1822.838339,1885.517635,1889.035996,1845.052324,1887.983299,1885.352441,1942.831521,1939.853369,1942.4906,,,,,,,
Caribbean small states,CSS,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2770.441912,2810.821028,2865.722087,3093.101001,3066.88325,3222.692979,3253.871219,3088.80393,2666.773601,2705.246458,2831.138193,2918.491922,2883.979469,2973.708709,3062.984684,,,,,,,
Cuba,CUB,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,505.8588171,514.9940495,547.238754,571.4014129,622.6683679,670.4914474,720.7026395,787.5324299,862.4378884,840.0463092,963.0371725,1006.809242,1051.265551,1116.366588,1002.781764,1073.557914,1091.317918,1147.389103,1185.266481,1212.325844,1048.855983,904.4943056,840.1833222,898.4670425,919.3399929,974.469538,1040.243937,1045.412388,1080.500976,1137.921864,1157.848199,1185.124839,1193.40807,1175.339227,1155.077091,1227.218208,1302.448459,1323.398868,1334.763138,1303.154964,1332.512094,1379.216979,1435.557838,1450.882819,,,,,,,
Curacao,CUW,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,4091.214405,4312.504231,4478.871706,4576.982966,4640.27788,4665.359206,4623.341518,4725.598452,4815.659008,4877.02731,4857.733013,4950.000333,4961.662885,4574.174016,4230.212624,3438.96975,3829.495035,3939.592909,4253.523619,4662.998624,4771.369016,5162.877314,5537.113909,5883.979811,6090.713041,6301.860484,6280.791529,6769.477823,7000.028689,7291.199761,7222.174867,7282.999884,7521.02019,7571.241207,7613.070072,7243.041936,7323.540845,7149.712092,7423.399372,7471.268233,7379.119677,5062.858345,4934.274681,4797.670436,,,,,,,
Cayman Islands,CYM,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
