Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bangladesh,BGD,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,6.257481579,0.022223496,5.164059022,-8.743224624,7.931704957,6.296188834,14.79196345,-5.769584381,11.8277158,0.510309049,2.963254932,4.402019652,61.40578328,44.5427169,80.5697564,-17.63041929,-3.210155929,25.61888559,12.56450599,17.55506709,9.894690312,9.855812463,8.487755878,7.875566349,18.4951157,8.254404894,11.11963117,7.495835297,8.33797325,6.532735292,2.729531996,2.582161899,0.155518173,3.966216316,7.144938703,19.14321311,3.800232201,4.736212562,3.781037737,3.44665935,3.261160132,3.892867435,5.815816648,4.56213638,4.586360705,5.875935815,6.471260103,7.860966092,6.764354686,7.144663025,7.859450855,8.164573678,7.174953427,5.668788528,5.87277704,27.85073772,5.047597582,5.805538767,3.658137552,3.841062743,4.121175352
Bulgaria,BGR,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,2.820938368,1.916472805,-0.64527173,2.736748496,0.229177128,1.345489615,0.0638388,-5.389743837,6.729684134,26.18800066,226.5378599,59.57864939,51.0910539,72.70496824,135.9717892,62.96634179,913.2117133,33.95101753,3.319129312,7.380852358,6.117736873,3.848379586,2.189415781,5.58155865,6.594250624,6.756476777,11.04777728,8.100504232,3.938027582,0.764233397,6.112979908,1.112136794,0.071962013,1.340740195,2.946785657,3.32208191,4.810288428,4.232654424,5.236819061,4.202619231,6.227301578
Bahrain,BHR,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,18.91176506,13.72399415,-3.689967158,-0.418480068,-1.824994526,-17.39265031,0.659048471,2.009427703,3.974660365,4.826695567,-1.882524863,-3.532652291,-3.025814742,7.331189486,1.090668488,0.196721929,0.931715111,-7.057410565,2.656433743,29.99127655,-3.36382792,3.414349556,8.602580618,10.99108462,13.73496783,8.842436716,8.435632695,11.36509192,-12.99394121,7.441125966,9.736753496,3.014765852,0.384140011,-1.670883004,-9.255156915,0.247278734,5.51968542,4.360061884,0.08326178,-5.502964621,9.501301209
"Bahamas, The",BHS,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,1.160601262,1.08963254,1.343764189,1.505301052,2.011727719,3.77131855,4.713072544,5.163480793,8.925372794,6.145345674,4.58255158,6.786658894,5.55102348,13.23270697,10.65637827,2.389665271,1.728703027,2.247883785,8.554096535,10.00686562,17.68832771,3.695007539,5.976967024,3.17143547,8.460727142,4.660387029,6.586347652,1.484310644,1.813171336,5.073711047,2.556539628,3.905565083,-0.851983447,2.183366927,0.802435284,0.98424358,64.17218655,12.99852931,0.223912945,0.921917928,0.353982112,3.960763092,1.154479107,1.194630016,5.056845759,0.827937103,2.947322454,1.488464357,-1.035990447,-0.392294309,-0.858815623,3.267287945,1.433320649,3.887115877,5.088782853,0.632944228,1.328564605,1.366283978,1.501262439,-3.48689981,1.616956812
Bosnia and Herzegovina,BIH,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.84743319,-17.05676337,13.01148218,-1.581925361,8.35572908,21.83624301,4.726117616,5.007866373,1.41086148,2.161971578,6.189015768,7.80012736,6.197569391,7.335351286,0.185466529,1.406293966,2.432527908,0.795773347,-0.224122003,1.000337219,1.365730709,1.406961876,1.696361815,2.747629988,2.63114018,0.176003498,1.735084999
Belarus,BLR,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.3767051,1030.776812,1058.714497,1945.748606,661.5040768,53.71432731,71.64957481,76.58044633,316.7934351,185.2907607,79.53457254,44.89373887,30.6853215,22.67512245,18.9721606,10.74861564,12.87270229,21.21353617,9.258661838,11.29047473,71.03882161,75.27736917,21.25729561,18.10515612,16.02249378,8.34191705,8.623147404,12.13922998,8.626732645,12.13417333,12.8222793
Belize,BLZ,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,1.763026844,1.356964588,0.937659292,2.13617101,5.61061427,5.773933778,3.122443711,1.679358121,0.215932233,7.369642397,5.063903656,-1.235235149,14.67627088,21.71062296,16.87729136,1.157484454,2.242495449,7.349181985,3.585434213,14.94878367,-2.04440242,-6.979994382,7.740755184,9.439079915,-1.805036508,4.202361222,9.581537065,3.726335541,2.045386015,0.172866167,-3.180174033,4.056028094,1.65158329,3.595976397,6.052271818,1.965863725,-1.478274302,1.483259232,-2.255253498,0.475944593,-0.247168031,1.753173486,-2.806041026,2.011453634,2.826610227,4.219898167,4.720238745,2.588322121,-2.656453089,1.714119138,4.016606514,1.924064095,2.431078416,1.447848967,0.543939602,3.796292006,0.530105857,0.256856702,1.075386664,-2.086343684,2.852547998
Bermuda,BMU,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,0.939036517,0.976544539,1.270801433,0.461053036,1.461122996,2.608611011,3.480335622,8.98161461,6.281063126,6.269519404,9.546211564,9.525770761,12.81220965,14.98394773,6.357027206,2.783649199,9.269101097,4.918710256,6.415363401,9.85408707,17.7093913,12.20859197,10.99738108,10.29655249,7.614088168,5.835136714,6.488154179,4.893013973,5.636713147,6.033572309,6.430591169,2.813881101,5.196304589,1.959567968,4.178463515,29.36469761,4.023903102,2.741551106,2.712151203,-4.236356147,-1.369195741,8.580442291,2.824739521,4.692142598,6.762374738,19.57916181,6.574894832,5.108914102,1.04358317,2.236222003,-1.151255981,6.698203692,1.657273194,3.011890877,2.95202007,4.373203842,-0.094833736,1.611116976,2.419351945,-0.477807068,1.023647744
Bolivia,BOL,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,6.548173318,3.561471056,0.824214662,8.385943053,5.891025174,3.315876428,6.232458617,4.58848424,3.719008265,3.960561147,2.538632263,18.9777488,42.94450909,61.54596047,6.695277654,8.598920874,12.54061843,14.10381081,19.79717364,25.04894359,29.48603589,158.2827498,265.1979603,1443.397286,12338.66022,230.1052223,14.58419382,17.5233371,13.18642127,16.26794198,17.68944022,13.19920441,6.557158191,7.952207725,11.42728171,11.58020687,5.705043358,7.051126765,2.411565889,5.195405208,1.870093658,2.820757397,6.329992293,7.967709509,5.94079763,13.66367954,7.373353861,10.38118176,-2.419894328,8.777508116,14.60235424,7.100275501,5.995388369,2.049497726,-4.620602258,-1.354870581,6.061399962,3.056265753,-0.693003272,-1.854386683,3.966970333
Brazil,BRA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,34.61780494,50.24945448,78.41743346,89.53366533,58.9331842,37.93609796,26.52894193,26.70671636,20.05178423,16.25511154,19.38458511,19.86709168,29.5803567,34.605855,33.92943674,41.20362402,45.39805621,38.22761123,54.36596003,92.14194461,100.5288771,101.0343947,131.4840451,201.7402821,248.5436591,149.1793183,206.2087087,627.9514702,1304.424209,2736.970678,416.6780877,969.0129218,1996.15035,2240.168869,93.97804304,18.45624378,7.72902341,4.924361587,8.010500877,5.606065153,8.225094316,9.798112234,14.09102153,7.752060759,7.431224755,6.774274119,6.439038089,8.778552722,7.313482746,8.423338336,8.318592219,7.943126942,7.504564532,7.846709743,7.566175013,8.103604357,3.671384513,4.493534332,4.22425887,5.140222397,11.09637043
Barbados,BRB,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,29.36072849,3.020982565,9.750335745,6.717506171,12.37833345,44.67810205,12.20028903,9.845767084,5.664288659,5.183243101,3.514327243,4.473495157,7.337770192,2.757355115,6.823577751,3.728308355,4.495282919,2.12239359,5.195366413,2.209842656,1.016149209,2.53841642,0.916898498,8.703256154,4.433423516,-1.322839151,2.255389252,0.907856237,1.115872167,5.828144136,6.667724557,4.058147963,8.569720627,1.721952685,-1.742033769,3.89655255,3.532676652,-0.591920673,2.946693847,0.495970738,-1.823927164,-0.238566003,2.610278028,3.384338979,4.697597316,2.782738317,3.062161474
Brunei Darussalam,BRN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,5.518963851,5.62712678,8.381099413,-2.171429325,12.67188974,86.11396727,9.021595024,-4.838443333,-11.42003532,-1.274171563,-2.464941047,-31.90474758,10.72996071,-7.669073022,8.698049959,8.409963766,-2.837280823,1.726875356,-2.951489527,-8.763626527,2.872997532,4.488755815,8.584853385,-11.64857357,11.59397648,29.01570917,-5.59189805,0.374209529,6.104611064,15.88616466,18.76631914,10.04772148,1.120447694,12.69272996,-22.09141648,16.68828285,20.18050542,1.218702687,-2.82132117,-1.846457284,-17.61280313,-9.167861616,4.953690289,9.217653488,-3.335767975,-10.86375956,15.4832759
